Judul,Merek,Model_Detail,Harga,Tahun,Kilometer,Lokasi,UsiaMobil,Inflasi,HargaSekarang_DeflasiKeThnBuat,EstimasiHargaAwal_PadaThnBuat,EstimasiHargaAwal_NilaiSaatIni,DepresiasiRiilAbsolut_PerThn_PadaThnBuat,DepresiasiRiilNormal_PersenPerThn,DepresiasiAbsolut_PerThn_NilaiSaatIni
2023 Toyota Raize 1.0 GR Sport (1 Tone) SUV,Toyota,Raize GR Sport (1 Tone),219000000.0,2023,17500,DKI Jakarta,2,0.036701314237700705,211246958.97683263,260798714.7862131,270370370.3703704,24775877.904690236,9.499999999999996,25685185.185185194
2021 Toyota Avanza 1.5 Veloz MPV,Toyota,Avanza Veloz,171000000.0,2021,77500,Jawa Barat,4,0.015601299052567299,168373159.97874582,256627282.39406464,260631001.3717421,22063530.603829704,8.5975,22407750.342935525
2022 Honda City 1.5 RS Hatchback,Honda,City RS,232000000.0,2022,22500,DKI Jakarta,3,0.042094638340216504,222628532.44261497,305388933.39179003,318244170.0960219,27586800.316391688,9.03333333333333,28748056.698673964
2022 Toyota Rush 1.5 GR Sport SUV,Toyota,Rush GR Sport,2226000000.0,2022,42500,Jawa Barat,3,0.042094638340216504,2136082384.557159,2930154162.6298475,3053497942.386831,264690592.69089618,9.033333333333331,275832647.46227694
2014 Isuzu MU-X 2.5 SUV,Isuzu,MU-X,240000000.0,2014,102500,Jawa Barat,11,0.0639492540819922,225574668.22708505,718824255.8973082,764792530.8779842,44840871.60638393,6.238085490090908,47708411.897998564
2013 Dodge Journey 2.4 SXT Platinum SUV,Dodge,Journey SXT Platinum,165000000.0,2013,82500,DKI Jakarta,12,0.06412513301564181,155056952.30823442,549011106.4168587,584216516.6429044,32829512.84238535,5.979753862658332,34934709.72024203
2024 Daihatsu Sigra 1.2 R MPV,Daihatsu,Sigra R,146000000.0,2024,17500,DKI Jakarta,1,0.0226,142773322.90240565,158637025.4471174,162222222.22222224,15863702.544711739,10.0,16222222.222222239
2022 Honda BR-V 1.5 Prestige Honda Sensing SUV,Honda,BR-V Prestige Honda Sensing,232000000.0,2022,52500,DKI Jakarta,3,0.042094638340216504,222628532.44261497,305388933.39179003,318244170.0960219,27586800.316391688,9.03333333333333,28748056.698673964
2024 Lexus LX 600 3.4 VIP SUV,Lexus,LX 600 VIP,3650000000.0,2024,2500,DKI Jakarta,1,0.0226,3569333072.560141,3965925636.1779346,4055555555.555556,396592563.61779356,10.000000000000002,405555555.5555558
2023 Mercedes-Benz E200 2.0 Avantgarde Sedan,Mercedes-Benz,E200 Avantgarde,2915000000.0,2023,9000,DKI Jakarta,2,0.036701314237700705,2811803129.7601237,3471361888.5927453,3598765432.0987654,329779379.4163108,9.5,341882716.0493827
