Judul,Merek,Model_Detail,Harga,Tahun,Kilometer,Lokasi,UsiaMobil,Inflasi,HargaSekarang_DeflasiKeThnBuat,EstimasiHargaAwal_PadaThnBuat,EstimasiHargaAwal_NilaiSaatIni,DepresiasiRiilAbsolut_PerThn_PadaThnBuat,DepresiasiRiilNormal_PersenPerThn,DepresiasiAbsolut_PerThn_NilaiSaatIni
2019 Porsche 911 4.0 GT3 RS Coupe,Porsche,911 GT3 RS,8100000000.0,2019,2500,DKI Jakarta,6,0.030305866496948698,7861743064.2611885,14793256568.953445,15241579027.587257,1155252250.7820427,7.809316666666666,1190263171.2645428
2024 Honda WR-V 1.5 RS SUV,Honda,WR-V RS,260000000.0,2024,2500,DKI Jakarta,1,0.0226,254253862.70291415,282504291.8921268,288888888.88888884,28250429.18921265,9.99999999999999,28888888.888888836
2022 Suzuki XL7 1.5 Beta SUV,Suzuki,XL7 Beta,205000000.0,2022,67500,DKI Jakarta,3,0.042094638340216504,196719177.37386236,269847979.936711,281207133.0589849,24376267.520949554,9.033333333333331,25402377.686328292
2022 Honda HR-V 1.5 E Special Edition SUV,Honda,HR-V E Special Edition,333500000.0,2022,37500,Jawa Barat,3,0.042094638340216504,320028515.386259,438996591.7506982,457475994.51303154,39656025.45481306,9.033333333333331,41325331.504343845
2015 BMW X5 3.0 xDrive35i M Sport SUV,BMW,X5 xDrive35i M Sport,510000000.0,2015,77500,Jawa Timur,10,0.0636312113115612,479489502.166,1375162462.0910993,1462665715.3041446,89567295.99250993,6.513215599,95266571.53041446
2017 Mercedes-Benz E250 2.0 Avantgarde CKD Sedan,Mercedes-Benz,E250 Avantgarde CKD,475000000.0,2017,7500,DKI Jakarta,8,0.0380879806953157,457572006.2588944,1062965995.1541821,1103452223.4573915,75674248.61191097,7.119159875,78556527.93217394
2017 Toyota Avanza 1.3 G MPV,Toyota,Avanza G,135000000.0,2017,122500,Banten,8,0.0380879806953157,130046780.7262121,302106124.938557,313612737.1931534,21507418.026543118,7.1191598749999985,22326592.149144173
2018 Toyota Vellfire 2.5 G MPV,Toyota,Vellfire G,710000000.0,2018,82500,Jawa Timur,7,0.031983464156241,687995519.9480859,1438427721.2503066,1484433622.7142594,107204600.18603154,7.452901428571428,110633374.67346562
2018 Lexus RX 300 2.0 F Sport SUV,Lexus,RX 300 F Sport,825000000.0,2018,12500,DKI Jakarta,7,0.031983464156241,799431414.0241843,1671412493.002117,1724870054.5623436,124568725.56827608,7.452901428571428,128552864.93747766
2023 Hyundai Creta 1.5 Prime SUV,Hyundai,Creta Prime,333000000.0,2023,17500,DKI Jakarta,2,0.036701314237700705,321211129.40312904,396556949.8804062,411111111.1111111,37672910.23863858,9.499999999999996,39055555.55555555
2014 Ford EcoSport 1.5 Titanium SUV,Ford,EcoSport Titanium,105000000.0,2014,67500,DKI Jakarta,11,0.0639492540819922,98688917.3493497,314485611.95507234,334596732.2591181,19617881.32779297,6.238085490090909,20872430.20537437
2014 Toyota Yaris 1.5 G Hatchback,Toyota,Yaris G,135000000.0,2014,62500,DKI Jakarta,11,0.0639492540819922,126885750.87773535,404338643.94223595,430195798.61886615,25222990.278590962,6.238085490090908,26835981.692624196
2019 Mitsubishi Xpander 1.5 Exceed MPV,Mitsubishi,Xpander Exceed,195000000.0,2019,62500,Jawa Timur,6,0.030305866496948698,189264184.88036194,356133954.4377681,366926902.5159895,27811628.259567693,7.809316666666666,28654483.752664912
2015 Mercedes-Benz C200 2.0 Avantgarde CBU Sedan,Mercedes-Benz,C200 Avantgarde CBU,339000000.0,2015,77500,Banten,10,0.0636312113115612,318719492.6162235,914078577.742907,972242504.8786372,59535908.51266835,6.513215598999998,63324250.48786372
2022 Suzuki Ertiga 1.5 Hybrid GX MPV,Suzuki,Ertiga Hybrid GX,200000000.0,2022,42500,Banten,3,0.042094638340216504,191921148.65742669,263266321.88947415,274348422.4965706,23781724.41068249,9.03333333333333,24782807.49885686
2018 Toyota Alphard 2.5 G MPV,Toyota,Alphard G,1698000000.0,2018,72500,DKI Jakarta,7,0.031983464156241,1645375201.2279577,3440070803.7789025,3550096185.0264964,256385086.0787064,7.452901428571428,264585169.2894995
2014 Toyota Avanza 1.3 E MPV,Toyota,Avanza E,108000000.0,2014,137500,DKI Jakarta,11,0.0639492540819922,101508600.70218827,323470915.1537887,344156638.89509284,20178392.222872768,6.238085490090909,21468785.35409935
2018 Honda BR-V 1.5 E SUV,Honda,BR-V E,145000000.0,2018,97500,DKI Jakarta,7,0.031983464156241,140506127.3133415,293763407.8609781,303158979.286715,21893897.221090946,7.452901428571428,22594139.89810214
2021 Toyota Raize 1.0 GR Sport TSS (1 Tone) SUV,Toyota,Raize GR Sport TSS (1 Tone),275000000.0,2021,17500,DKI Jakarta,4,0.015601299052567299,270775549.6734216,412704693.90858346,419143423.2586495,35482286.05879046,8.5975,36035855.81466238
2019 Daihatsu Sigra 1.2 X MPV,Daihatsu,Sigra X,98000000.0,2019,77500,DKI Jakarta,6,0.030305866496948698,95117385.22192548,178980141.2046219,184404289.4695742,13977125.997116072,7.809316666666666,14400714.911595702
2023 Honda WR-V 1.5 RS SUV,Honda,WR-V RS,245000000.0,2023,17500,DKI Jakarta,2,0.036701314237700705,236326506.61791778,291761119.28137994,302469135.80246913,27717306.33173108,9.499999999999996,28734567.901234567
2011 Nissan X-Trail 2.5 ST SUV,Nissan,X-Trail ST,113000000.0,2011,102000,DKI Jakarta,14,0.053560477898215,107255352.08517662,468839118.4924068,493950365.73623794,25827411.886230726,5.508800538931356,27210740.40973128
2020 Toyota Calya 1.2 G MPV,Toyota,Calya G,129000000.0,2020,72500,Jawa Barat,5,0.019209680056685,126568656.60148111,214345131.3341142,218462632.72875065,17555294.946526617,8.190199999999999,17892526.54575013
2014 Nissan March 1.5 Hatchback,Nissan,March,105000000.0,2014,77500,DKI Jakarta,11,0.0639492540819922,98688917.3493497,314485611.95507234,334596732.2591181,19617881.32779297,6.238085490090909,20872430.20537437
2022 Hyundai Palisade 2.2 Signature SUV,Hyundai,Palisade Signature,665000000.0,2022,37500,DKI Jakarta,3,0.042094638340216504,638137819.2859437,875360520.2825016,912208504.8010973,79074233.66551928,9.033333333333331,82402834.93369909
2014 Daihatsu Gran Max 1.3 Mini Bus D Van,Daihatsu,Gran Max Mini Bus D,95000000.0,2014,57500,Jawa Barat,11,0.0639492540819922,89289972.83988783,284534601.2926845,302730376.8058687,17749511.67752697,6.238085490090908,18884579.709624425
2023 BMW X3 2.0 sDrive20i xLine SUV,BMW,X3 sDrive20i xLine,1060000000.0,2023,4000,Banten,2,0.036701314237700705,1022473865.3673177,1262313414.0337255,1308641975.308642,119919774.33320391,9.499999999999998,124320987.65432096
2020 MINI Cooper 2.0 S 3 Door Hatchback,MINI,Cooper S 3 Door,765000000.0,2020,12000,Banten,5,0.019209680056685,750581568.2180856,1271116476.5162587,1295534217.3449168,104106981.65963462,8.1902,106106843.46898337
2023 Daihatsu Sigra 1.0 M MPV,Daihatsu,Sigra M,125000000.0,2023,12500,Jawa Barat,2,0.036701314237700705,120574748.27444784,148857713.9190714,154320987.65432099,14141482.822311781,9.499999999999998,14660493.827160493
2022 Honda Brio 1.2 Satya E Hatchback,Honda,Brio Satya E,149000000.0,2022,22500,DKI Jakarta,3,0.042094638340216504,142981255.7497829,196133409.80765826,204389574.7599451,17717384.685958456,9.033333333333331,18463191.586648364
2022 Hyundai Stargazer 1.5 Prime MPV,Hyundai,Stargazer Prime,220000000.0,2022,22500,DKI Jakarta,3,0.042094638340216504,211113263.52316937,289592954.0784216,301783264.7462277,26159896.851750743,9.033333333333331,27261088.24874256
2019 Mitsubishi Xpander 1.5 Sport MPV,Mitsubishi,Xpander Sport,199000000.0,2019,82500,Banten,6,0.030305866496948698,193146527.13431808,363439266.32367104,374453608.2086252,28382123.198225494,7.809316666666666,29242268.034770865
2022 Suzuki Ertiga 1.5 Hybrid GX MPV,Suzuki,Ertiga Hybrid GX,188000000.0,2022,27500,Jawa Barat,3,0.042094638340216504,180405879.73798108,247470342.5761057,257887517.14677638,22354820.946041543,9.033333333333331,23295839.04892546
2019 Suzuki SX4 S-Cross 1.5 Hatchback,Suzuki,SX4 S-Cross,175000000.0,2019,37500,DKI Jakarta,6,0.030305866496948698,169852473.61058122,319607395.0082534,329293374.0528111,24959153.566278696,7.809316666666666,25715562.34213518
2024 Daihatsu Ayla 1.0 M Hatchback,Daihatsu,Ayla M,114000000.0,2024,2500,Banten,1,0.0226,111480539.80050851,123867266.44500946,126666666.66666666,12386726.644500941,9.999999999999996,12666666.666666657
2022 Suzuki XL7 1.5 Beta SUV,Suzuki,XL7 Beta,209000000.0,2022,67500,DKI Jakarta,3,0.042094638340216504,200557600.34701088,275113306.3745005,286694101.5089163,24851902.009163212,9.033333333333333,25898033.83630544
2021 BMW X3 2.0 sDrive20i SUV,BMW,X3 sDrive20i,3679000000.0,2021,32000,Jawa Barat,4,0.015601299052567299,3622484535.449157,5521238432.326104,5607376924.2493515,474688474.21923673,8.597499999999998,482094231.0623379
2021 Suzuki Carry 1.5 Pick Up Flat Deck Lorry,Suzuki,Carry Pick Up Flat Deck,397500000.0,2021,51000,DKI Jakarta,4,0.015601299052567299,391393749.0734004,596545875.7405889,605852766.3465935,51288031.66679713,8.5975,52088191.586648375
2023 Mitsubishi Xpander Cross 1.5 Premium MPV,Mitsubishi,Xpander Cross Premium,1281000000.0,2023,7500,DKI Jakarta,2,0.036701314237700705,1235650020.3165414,1525493852.2426436,1581481481.4814813,144921915.96305108,9.499999999999996,150240740.74074066
2014 Toyota Vellfire 2.4 ZG MPV,Toyota,Vellfire ZG,260000000.0,2014,92500,Jawa Timur,11,0.0639492540819922,244372557.2460088,778726277.222084,828525241.784483,48577610.90691593,6.238085490090909,51684112.88949845
2014 Toyota Alphard 2.4 X MPV,Toyota,Alphard X,235000000.0,2014,87500,Jawa Barat,11,0.0639492540819922,220875195.9723541,703848750.5661143,748859353.1513594,43906686.781250924,6.238085490090908,46714486.65012359
2020 Volkswagen Tiguan 1.4 TSI Allspace SUV,Volkswagen,Tiguan TSI Allspace,299000000.0,2020,47500,DKI Jakarta,5,0.019209680056685,293364560.6499446,496815459.44883835,506359125.4720655,40690179.75977875,8.190199999999999,41471825.0944131
2016 Toyota Kijang Innova 2.0 V MPV,Toyota,Kijang Innova V,235000000.0,2016,197500,Jawa Timur,9,0.035258051568793,226996544.14074773,585917757.54211,606576076.0526012,39880134.822373584,6.806439011111111,41286230.67251125
2014 Hyundai H-1 2.4 Elegance MPV,Hyundai,H-1 Elegance,139000000.0,2014,137500,DKI Jakarta,11,0.0639492540819922,130645328.68152009,416319048.20719105,442942340.80016583,25970338.13869736,6.238085490090908,27631121.890924167
2019 Mercedes-Benz C300 2.0 AMG Line Sedan,Mercedes-Benz,C300 AMG Line,469000000.0,2019,37500,DKI Jakarta,6,0.030305866496948698,455204629.2763577,856547818.6221192,882506242.4615338,66890531.55762691,7.809316666666664,68917707.0769223
2017 BMW X5 2.0 xDrive25d SUV,BMW,X5 xDrive25d,438000000.0,2017,67500,Banten,8,0.0380879806953157,421929555.2450437,980166538.6895406,1017499102.8933421,69779622.93056211,7.1191598749999985,72437387.86166777
2024 Toyota Kijang Innova Zenix 2.0 Q HV TSS ( Premium Color) MPV,Toyota,Kijang Innova Zenix Q HV TSS ( Premium Color),577000000.0,2024,12500,DKI Jakarta,1,0.0226,564247995.3060826,626942217.0067585,641111111.1111112,62694221.700675845,10.0,64111111.111111164
2019 Mitsubishi Pajero Sport 2.4 Dakar 4X2 SUV,Mitsubishi,Pajero Sport Dakar 4X2,1400000000.0,2019,132500,DKI Jakarta,6,0.030305866496948698,1358819788.8846498,2556859160.066027,2634346992.4224887,199673228.53022957,7.809316666666666,205724498.73708144
2018 Suzuki SX4 S-Cross 1.5 Hatchback,Suzuki,SX4 S-Cross,179999999.0,2018,42500,Jawa Timur,7,0.031983464156241,174421398.45445064,364671814.6290528,376335282.54103255,27178630.882086027,7.452901428571428,28047897.648718935
2022 Toyota Fortuner 2.8 GR Sport 4X2 SUV,Toyota,Fortuner GR Sport 4X2,490000000.0,2022,77500,Jawa Barat,3,0.042094638340216504,470206814.2106954,645002488.6292117,672153635.116598,58265224.806172095,9.03333333333333,60717878.372199334
2018 Mitsubishi Xpander 1.5 Ultimate MPV,Mitsubishi,Xpander Ultimate,195000000.0,2018,59000,Jawa Barat,7,0.031983464156241,188956516.04207996,395061134.7095913,407696558.3510995,29443516.952501625,7.452901428571428,30385222.62158564
2018 Hyundai H-1 2.5 Royale MPV,Hyundai,H-1 Royale,315000000.0,2018,37500,DKI Jakarta,7,0.031983464156241,305237448.9910522,638175679.1462629,658586748.1056222,47562604.30788724,7.452901428571429,49083821.15794603
2016 MINI Cooper 2.0 S John Cooper Works 3 Door (Rebel Green) Hatchback,MINI,Cooper S John Cooper Works 3 Door (Rebel Green),599000000.0,2016,32500,DKI Jakarta,9,0.035258051568793,578599701.8736506,1493466964.9690375,1546123700.2362046,101651918.12170966,6.8064390111111095,105235966.69291162
2013 Mazda CX-5 2.5 Grand Touring SUV,Mazda,CX-5 Grand Touring,160000000.0,2013,82500,Jawa Timur,12,0.06412513301564181,150358256.7837425,532374406.2224085,566512985.8355438,31834679.11988883,5.979753862658333,33876082.15296198
2011 Mitsubishi Pajero Sport 2.5 Dakar 4x2 SUV,Mitsubishi,Pajero Sport Dakar 4x2,236000000.0,2011,127500,Jawa Tengah,14,0.053560477898215,224002328.24868748,979168424.4620178,1031613153.2190458,53940435.44380931,5.508800538931356,56829510.944217555
2023 Honda WR-V 1.5 RS SUV,Honda,WR-V RS,230000000.0,2023,27500,DKI Jakarta,2,0.036701314237700705,221857536.824984,273898193.6110914,283950617.2839506,26020328.39305368,9.5,26975308.641975313
2021 Toyota Kijang Innova 2.0 G MPV,Toyota,Kijang Innova G,286000000.0,2021,67500,Banten,4,0.015601299052567299,281606571.6603585,429212881.6649268,435909160.18899554,36901577.501142085,8.5975,37477290.047248885
2019 Honda HR-V 1.5 E SUV,Honda,HR-V E,217000000.0,2019,82500,DKI Jakarta,6,0.030305866496948698,210617067.27712074,396313169.8102343,408323783.8254858,30949350.422185596,7.809316666666668,31887297.304247636
2020 Toyota Corolla Altis 1.8 V Sedan,Toyota,Corolla Altis V,278000000.0,2020,62500,DKI Jakarta,5,0.019209680056685,272760360.73807555,461922065.97584295,470795441.07436186,37832341.04755348,8.190199999999997,38559088.214872375
2014 Nissan March 1.2 Hatchback,Nissan,March,94000000.0,2014,107500,Jawa Barat,11,0.0639492540819922,88350078.38894165,281539500.22644573,299543741.2605438,17562674.71250037,6.238085490090908,18685794.66004944
2023 Honda BR-V 1.5 Prestige SUV,Honda,BR-V Prestige,242000000.0,2023,22500,DKI Jakarta,2,0.036701314237700705,233432712.65933102,288188534.14732224,298765432.09876543,27377910.743995607,9.499999999999998,28382716.049382716
2020 Toyota Corolla Altis 1.8 V Sedan,Toyota,Corolla Altis V,278000000.0,2020,62500,Banten,5,0.019209680056685,272760360.73807555,461922065.97584295,470795441.07436186,37832341.04755348,8.190199999999997,38559088.214872375
2021 Nissan Livina 1.5 VL MPV,Nissan,Livina VL,200000000.0,2021,37500,DKI Jakarta,4,0.015601299052567299,196927672.4897612,300148868.2971516,304831580.5517451,25805298.951847605,8.597499999999998,26207895.13793628
2019 Toyota Kijang Innova 2.4 V MPV,Toyota,Kijang Innova V,369000000.0,2019,62000,Jawa Barat,6,0.030305866496948698,358146072.9274541,673915021.4745457,694338600.1456416,52628158.091181934,7.809316666666664,54223100.0242736
2009 Toyota Kijang Innova 2.0 V MPV,Toyota,Kijang Innova V,130000000.0,2009,181000,Jawa Barat,16,0.0438641555014731,124537277.4942616,672077283.5800927,701557386.0560576,34221250.38036444,5.091862381967599,35722336.6285036
2021 Honda CR-V 1.5 Turbo Prestige SUV,Honda,CR-V Turbo Prestige,482000000.0,2021,38000,Jawa Barat,4,0.015601299052567299,474595690.7003245,723358772.5961355,734644109.1297059,62190770.473952755,8.5975,63161027.28242648
2010 Toyota Yaris 1.5 S Limited Hatchback,Toyota,Yaris S Limited,112500000.0,2010,138000,Jawa Barat,15,0.0513420400767928,107006089.08570108,519721699.507242,546405271.8321217,27514374.028102733,5.294059119369007,28927018.122141447
2023 Daihatsu Terios 1.5 R SUV,Daihatsu,Terios R,229000000.0,2023,2500,DKI Jakarta,2,0.036701314237700705,220892938.83878845,272707331.8997388,282716049.382716,25907196.53047517,9.499999999999995,26858024.691358
2010 Toyota Yaris 1.5 S Limited Hatchback,Toyota,Yaris S Limited,120000000.0,2010,92500,Jawa Barat,15,0.0513420400767928,114139828.35808115,554369812.8077248,582832289.9542631,29348665.629976247,5.294059119369007,30855485.996950872
2017 Honda HR-V 1.5 E SUV,Honda,HR-V E,210000000.0,2017,53000,Jawa Barat,8,0.0380879806953157,202294992.24077436,469942861.01553315,487842035.6337942,33455983.59684485,7.1191598749999985,34730254.45422427
2016 Honda HR-V 1.5 E SUV,Honda,HR-V E,198000000.0,2016,67500,Jawa Barat,9,0.035258051568793,191256662.72284275,493666876.56739473,511072608.7592129,33601134.871616885,6.8064390111111095,34785845.41769032
2008 Toyota Corolla Altis 1.8 V Sedan,Toyota,Corolla Altis V,115000000.0,2008,127500,Jawa Barat,17,0.102266645473148,104330472.551527,625588150.5063463,689564952.1063812,30662216.35028349,4.90134225296079,33797938.35919889
2023 Wuling Air EV Long Range Hatchback,Wuling,Air EV Long Range,145000000.0,2023,17500,DKI Jakarta,2,0.036701314237700705,139866707.9983595,172674948.14612284,179012345.67901236,16404120.07388167,9.5,17006172.83950618
2021 Toyota Kijang Innova 2.4 Venturer MPV,Toyota,Kijang Innova Venturer,440000000.0,2021,57500,DKI Jakarta,4,0.015601299052567299,433240879.47747463,660327510.2537336,670629477.2138394,56771657.69406475,8.5975,57657369.30345985
2021 Toyota Kijang Innova 2.4 Venturer MPV,Toyota,Kijang Innova Venturer,440000000.0,2021,57500,Jawa Barat,4,0.015601299052567299,433240879.47747463,660327510.2537336,670629477.2138394,56771657.69406475,8.5975,57657369.30345985
2019 Daihatsu Sigra 1.2 X MPV,Daihatsu,Sigra X,98000000.0,2019,57500,Jawa Barat,6,0.030305866496948698,95117385.22192548,178980141.2046219,184404289.4695742,13977125.997116072,7.809316666666666,14400714.911595702
2016 Honda CR-V 2.4 Prestige Audio Premium SUV,Honda,CR-V Prestige Audio Premium,259000000.0,2016,100000,Jawa Barat,9,0.035258051568793,250179169.92533472,645756166.8230063,668524271.053718,43952999.65529684,6.806439011111111,45502696.78374644
2019 Honda CR-V 1.5 Turbo Prestige SUV,Honda,CR-V Turbo Prestige,355000000.0,2019,47500,DKI Jakarta,6,0.030305866496948698,344557875.03860766,648346429.8738856,667995130.221417,50631425.80587966,7.809316666666666,52165855.03690282
2023 Daihatsu Ayla 1.2 R Hatchback,Daihatsu,Ayla R,135000000.0,2023,22500,Banten,2,0.036701314237700705,130220728.13640366,160766331.0325971,166666666.66666666,15272801.448096715,9.499999999999995,15833333.333333328
2011 Honda CR-V 2.4 SUV,Honda,CR-V,135000000.0,2011,162500,Jawa Timur,14,0.053560477898215,128136925.0575119,560117530.9422559,590117693.5786914,30855757.563195996,5.508800538931356,32508406.68419224
2019 Lexus RX 300 2.0 F Sport SUV,Lexus,RX 300 F Sport,958000000.0,2019,27500,Jawa Timur,6,0.030305866496948698,929820969.822496,1749622196.673753,1802646013.3862457,136633537.80854282,7.809316666666666,140774335.5643743
2017 Honda Mobilio 1.5 E MPV,Honda,Mobilio E,147500000.0,2017,62500,Jawa Timur,8,0.0380879806953157,142088149.31197247,330078914.2847197,342650953.5999268,23498845.621593405,7.1191598749999985,24393869.199990854
2015 Mitsubishi Mirage 1.2 Sedan,Mitsubishi,Mirage,97500000.0,2015,62500,Jawa Timur,10,0.0636312113115612,91667110.70820588,262898705.98800427,279627269.102263,17123159.52797984,6.513215599,18212726.910226297
2014 Toyota Alphard 2.4 SC MPV,Toyota,Alphard SC,388000000.0,2014,62500,Jawa Timur,11,0.0639492540819922,364679046.9671208,1162099213.7006483,1236414591.5860744,72492742.43032068,6.238085490090908,77128599.23509766
2018 Honda HR-V 1.5 E SUV,Honda,HR-V E,219000000.0,2018,92500,Jawa Timur,7,0.031983464156241,212212702.63187438,443684043.59692556,457874596.3020039,33067334.42357874,7.452901428571428,34124942.328857705
2006 Mercedes-Benz E200K 1.8 Sedan,Mercedes-Benz,E200K,98000000.0,2006,112500,Bali,19,0.131086720985296,86642339.77977538,606496378.4584277,686000000.0,27360738.877823804,4.511278195488721,30947368.42105263
2023 Honda Brio 1.2 RS Hatchback,Honda,Brio RS,198000000.0,2023,2500,Jawa Timur,2,0.036701314237700705,190990401.2667254,235790618.8478091,244444444.44444445,22400108.790541857,9.499999999999996,23222222.222222224
2011 Toyota Land Cruiser 4.5 200 Standard spec SUV,Toyota,Land Cruiser 200 Standard spec,1030000000.0,2011,32500,Jawa Timur,14,0.053560477898215,977637280.0684241,4273489310.1520267,4502379439.896683,235418002.14882874,5.508800538931356,248027102.84976307
2021 Daihatsu Gran Max 1.3 Mini Bus D Van,Daihatsu,Gran Max Mini Bus D,134000000.0,2021,92500,Jawa Timur,4,0.015601299052567299,131941540.56814,201099741.7590916,204237158.96966925,17289550.297737896,8.597499999999998,17559289.742417313
2015 Suzuki Ertiga 1.4 GX MPV,Suzuki,Ertiga GX,135000000.0,2015,92500,Jawa Timur,10,0.0636312113115612,126923691.74982353,364013592.90646744,387176218.75697947,23708990.115664393,6.513215599,25217621.875697948
2021 Suzuki Carry 1.5 Pick Up Wide Deck Lorry,Suzuki,Carry Pick Up Wide Deck,120000000.0,2021,27500,Jawa Timur,4,0.015601299052567299,118156603.49385671,180089320.97829098,182898948.3310471,15483179.371108565,8.5975,15724737.082761772
2017 Honda BR-V 1.5 E Prestige SUV,Honda,BR-V E Prestige,180000000.0,2017,62500,Jawa Timur,8,0.0380879806953157,173395707.63494945,402808166.58474267,418150316.25753784,28676557.368724152,7.1191598749999985,29768789.53219223
2021 Daihatsu Terios 1.5 R Deluxe SUV,Daihatsu,Terios R Deluxe,228000000.0,2021,27500,Jawa Timur,4,0.015601299052567299,224497546.63832775,342169709.85875285,347508001.82898945,29418040.805106275,8.5975,29877000.45724736
2019 Isuzu Panther 2.5 LS SUV,Isuzu,Panther LS,185000000.0,2019,152500,Jawa Timur,6,0.030305866496948698,179558329.2454716,337870674.7230108,348110138.2844003,26385390.9129232,7.809316666666666,27185023.047400046
2024 Daihatsu Xenia 1.3 R MPV,Daihatsu,Xenia R,220000000.0,2024,12500,Jawa Timur,1,0.0226,215137883.82554275,239042093.13949195,244444444.44444445,23904209.313949198,10.0,24444444.444444448
2020 Lexus RX 300 2.0 F Sport SUV,Lexus,RX 300 F Sport,855000000.0,2020,32500,DKI Jakarta,5,0.019209680056685,838885282.1260958,1420659591.4005244,1447950007.6207893,116354861.85488573,8.190199999999999,118590001.52415785
2020 Daihatsu Ayla 1.0 D Hatchback,Daihatsu,Ayla D,88000000.0,2020,27500,Banten,5,0.019209680056685,86341409.15449874,146219934.55350426,149028772.7141865,11975705.079801103,8.190199999999997,12205754.542837298
2018 Mercedes-Benz C200 2.0 AMG Line Sedan,Mercedes-Benz,C200 AMG Line,420000000.0,2018,22500,DKI Jakarta,7,0.031983464156241,406983265.32140297,850900905.5283505,878115664.1408296,63416805.74384964,7.452901428571428,65445094.87726136
2021 Toyota Avanza 1.5 G MPV,Toyota,Avanza G,201000000.0,2021,52500,Jawa Barat,4,0.015601299052567299,197912310.85221002,301649612.6386374,306355738.4545039,25934325.446606852,8.5975,26338934.613625973
2024 Toyota Raize 1.0 GR Sport (1 Tone) SUV,Toyota,Raize GR Sport (1 Tone),210000000.0,2024,22500,DKI Jakarta,1,0.0226,205358889.1061999,228176543.4513332,233333333.3333333,22817654.345133305,9.999999999999993,23333333.333333313
2022 Toyota Alphard 2.5 G MPV,Toyota,Alphard G,950000000.0,2022,12500,DKI Jakarta,3,0.042094638340216504,911625456.1227767,1250515028.9750023,1303155006.8587105,112963190.95074184,9.033333333333331,117718335.61957018
2011 Lexus RX 270 2.7 SUV,Lexus,RX 270,229000000.0,2011,82500,Jawa Timur,14,0.053560477898215,217358191.39385352,950125293.2279749,1001014457.996447,52340507.27386581,5.508800538931356,55143889.85688907
2021 Renault Triber 1.0 RXZ SUV,Renault,Triber RXZ,118000000.0,2021,22500,DKI Jakarta,4,0.015601299052567299,116187326.7689591,177087832.29531947,179850632.52552965,15225126.38159009,8.5975,15462658.131382413
2016 Suzuki Ertiga 1.4 GL MPV,Suzuki,Ertiga GL,109000000.0,2016,92500,DKI Jakarta,9,0.035258051568793,105287758.77166596,271766108.81740415,281348052.2967384,18497594.449526466,6.8064390111111095,19149783.588526487
2019 Toyota Alphard 2.5 G MPV,Toyota,Alphard G,750000000.0,2019,32500,DKI Jakarta,6,0.030305866496948698,727939172.6167767,1369745978.6068006,1411257317.3691905,106967800.99833731,7.809316666666668,110209552.89486508
2019 Mazda 2 1.5 GT Hatchback,Mazda,2 GT,210000000.0,2019,52500,DKI Jakarta,6,0.030305866496948698,203822968.33269748,383528874.00990415,395152048.86337334,29950984.279534444,7.809316666666666,30858674.810562223
2022 Mitsubishi Xpander 1.5 Ultimate MPV,Mitsubishi,Xpander Ultimate,252500000.0,2022,27500,Jawa Timur,3,0.042094638340216504,242300450.1800012,332373731.38546115,346364883.40192044,30024427.06848665,9.033333333333331,31288294.46730681
2020 Nissan Navara 2.5 VL Pickup,Nissan,Navara VL,425000000.0,2020,62500,Jawa Timur,5,0.019209680056685,416989760.1211587,706175820.2868104,719741231.8582871,57837212.03313033,8.190199999999999,58948246.371657416
2024 Mitsubishi XFORCE 1.5 Ultimate SUV,Mitsubishi,XFORCE Ultimate,319000000.0,2024,11315,DKI Jakarta,1,0.0226,311949931.547037,346611035.0522633,354444444.4444445,34661103.505226314,9.999999999999995,35444444.44444448
2019 Peugeot 3008 1.6 GT Line SUV,Peugeot,3008 GT Line,345000008.0,2019,57500,Bali,6,0.030305866496948698,334852027.1684018,630083164.7697519,649178381.0432389,49205189.600225024,7.809316666666666,50696395.50720648
2022 Daihatsu Ayla 1.0 D+ Hatchback,Daihatsu,Ayla D+,105000000.0,2022,7500,Jawa Timur,3,0.042094638340216504,100758603.04514901,138214818.99197394,144032921.81069958,12485405.315608308,9.033333333333331,13010973.936899861
2013 Daihatsu Gran Max 1.3 Mini Bus D Van,Daihatsu,Gran Max Mini Bus D,87000000.0,2013,162500,Jawa Timur,12,0.06412513301564181,81757302.12615998,289478583.3834346,308041436.0480769,17310106.771439552,5.979753862658333,18420119.670673076
2021 Toyota Avanza 1.3 E MPV,Toyota,Avanza E,159000000.0,2021,42638,DKI Jakarta,4,0.015601299052567299,156557499.62936014,238618350.29623553,242341106.53863737,20515212.666718848,8.5975,20835276.634659342
2021 Honda HR-V 1.5 E Special Edition SUV,Honda,HR-V E Special Edition,250000000.0,2021,38401,DKI Jakarta,4,0.015601299052567299,246159590.61220148,375186085.3714395,381039475.6896814,32256623.68980951,8.5975,32759868.922420353
2018 Mitsubishi Pajero Sport 2.4 Dakar 4X2 SUV,Mitsubishi,Pajero Sport Dakar 4X2,415000000.0,2018,67500,Jawa Timur,7,0.031983464156241,402138226.4485291,840771132.8434892,867661906.2343911,62661843.770708576,7.452901428571428,64665986.60491301
2009 Honda Jazz 1.5 RS Hatchback,Honda,Jazz RS,130000000.0,2009,97500,Jawa Timur,16,0.0438641555014731,124537277.4942616,672077283.5800927,701557386.0560576,34221250.38036444,5.091862381967599,35722336.6285036
